Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,Status Projek Keseluruhan,Maklumat Pembangunan,Lokasi Projek,Daerah Projek,Negeri Projek,Tarikh Sah Laku Permit Terkini,Scraped_Date,Scraped_Timestamp
1,19373-12 TAMAN PERLING IMPIAN,19373 FIXMAX ENTITY SDN. BHD.,19373-12/09-2027/0738(A)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.419025,102.189540",Alor Gajah,Melaka,Mula: 08 Sep 2025   Tamat: 07 Sep 2027,2025-12-20,2025-12-20 10:46:36
2,19373-11 TAMAN PERLING IMPIAN,19373 FIXMAX ENTITY SDN. BHD.,19373-11/02-2027/0157(A)-(L),Lancar,Berfasa,"https://maps.google.com/maps?q=2.441196,102.215422",Alor Gajah,Melaka,Mula: 26 Feb 2025   Tamat: 25 Feb 2027,2025-12-20,2025-12-20 10:46:36
3,19373-10 IMPIANA @ LOT PT 6591 MUKIM PAYA RUMPUT,19373 FIXMAX ENTITY SDN. BHD.,19373-10/04-2026/0447(A)-(S),Lancar,Berfasa,"https://maps.google.com/maps?q=2.285709,102.217643",Melaka Tengah,Melaka,Mula: 13 Apr 2023   Tamat: 12 Apr 2026,2025-12-20,2025-12-20 10:46:36
4,19373-9 TAMAN VISTA BELIMBING,19373 FIXMAX ENTITY SDN. BHD.,19373-9/11-2023/0083(A)-(S),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.329306,102.264861",Alor Gajah,Melaka,Mula: 12 Nov 2021   Tamat: 11 Nov 2023,2025-12-20,2025-12-20 10:46:36
5,19373-8 TAMAN VISTA BELIMBING,19373 FIXMAX ENTITY SDN. BHD.,19373-8/10-2023/0760(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.329307,102.264855",Alor Gajah,Melaka,Mula: 29 Okt 2021   Tamat: 28 Okt 2023,2025-12-20,2025-12-20 10:46:36
6,19373-7 TAMAN VISTA BELIMBING,19373 FIXMAX ENTITY SDN. BHD.,19373-7/03-2023/0481(A)-(S),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.331611,102.267815",Alor Gajah,Melaka,Mula: 20 Mac 2021   Tamat: 19 Mac 2023,2025-12-20,2025-12-20 10:46:36
7,19373-6 TAMAN VISTA BELIMBING,19373 FIXMAX ENTITY SDN. BHD.,19373-6/02-2022/0130(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.331100,102.268022",Alor Gajah,Melaka,Mula: 12 Feb 2020   Tamat: 11 Feb 2022,2025-12-20,2025-12-20 10:46:36
8,19373-5 TAMAN VISTA BELIMBING,19373 FIXMAX ENTITY SDN. BHD.,19373-5/10-2021/0966(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.330016,102.266302",Alor Gajah,Melaka,Mula: 18 Okt 2019   Tamat: 17 Okt 2021,2025-12-20,2025-12-20 10:46:36
9,19373-4 TAMAN VISTA BELIMBING,19373 FIXMAX ENTITY SDN. BHD.,19373-4/07-2021/0631(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.331110,102.268022",Alor Gajah,Melaka,Mula: 17 Jul 2019   Tamat: 16 Jul 2021,2025-12-20,2025-12-20 10:46:36
10,19373-3 TAMAN BERTAM IMPIAN,19373 FIXMAX ENTITY SDN. BHD.,19373-3/02-2021/0138(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.296178,102.178386",Melaka Tengah,Melaka,Mula: 16 Feb 2019   Tamat: 15 Feb 2021,2025-12-20,2025-12-20 10:46:36
11,19373-2 TAMAN BERTAM IMPIAN,19373 FIXMAX ENTITY SDN. BHD.,19373-2/10-2020/0940(P),Siap Dengan CFO,Berfasa,"https://maps.google.com/maps?q=2.295052,102.178665",Melaka Tengah,Melaka,Mula: 25 Okt 2018   Tamat: 24 Okt 2020,2025-12-20,2025-12-20 10:46:36
12,19373-1 TAMAN VISTA BELIMBING,19373 FIXMAX ENTITY SDN. BHD.,19373-1/04-2020/0327(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.328547,102.270077",Alor Gajah,Melaka,Mula: 03 Apr 2018   Tamat: 02 Apr 2020,2025-12-20,2025-12-20 10:46:36
